,ActiveTime,InactiveTime,CreateShape,RotateShape,MoveShape,ScaleShape,DeleteFigure,RotateView,cube,pyramid,ramp,cylinder,cone,sphere,spatial_reasoning,snap_submit,puzzle_45-Degree Rotations,puzzle_Angled Silhouette,puzzle_Bird Fez,puzzle_Pi Henge,puzzle_Pyramids are Strange
65,193.21034800000007,0.0,4,6,36,1,1,83,2,1,0,0,0,1,2.5,2,0.0,0.0,1.0,0.0,0.0
66,29.242178,0.0,4,0,0,0,0,0,2,2,0,0,0,0,3.875,0,0.0,1.0,0.0,0.0,0.0
67,91.329998,0.0,3,0,12,5,0,5,3,0,0,0,0,0,3.222222222222222,3,0.0,0.0,0.0,1.0,0.0
68,45.76259,0.0,5,10,0,0,0,0,0,0,4,0,0,1,3.5,0,1.0,0.0,0.0,0.0,0.0
69,249.647704,0.0,4,56,4,21,0,4,0,4,0,0,0,0,1.875,6,0.0,0.0,0.0,0.0,1.0
70,320.1595660000001,0.0,3,2,25,27,0,11,1,0,0,0,1,1,2.6666666666666665,6,0.0,0.0,1.0,0.0,0.0
71,49.691246000000014,0.0,3,4,1,1,0,3,1,2,0,0,0,0,3.875,0,0.0,1.0,0.0,0.0,0.0
72,81.871799,0.0,4,0,8,7,1,2,3,0,0,1,0,0,3.1666666666666665,0,0.0,0.0,0.0,1.0,0.0
73,105.943292,0.0,5,30,0,0,0,1,0,0,4,0,0,1,2.875,0,1.0,0.0,0.0,0.0,0.0
74,144.62261499999997,0.0,4,22,6,1,0,3,0,4,0,0,0,0,2.625,2,0.0,0.0,0.0,0.0,1.0
75,105.75663,188.653987,4,2,5,1,1,0,2,0,0,0,1,1,3.333333333333333,0,0.0,0.0,1.0,0.0,0.0
76,33.500399,0.0,4,4,0,0,0,0,2,2,0,0,0,0,3.875,0,0.0,1.0,0.0,0.0,0.0
77,37.03139,0.0,5,0,2,3,0,0,5,0,0,0,0,0,3.888888888888889,0,0.0,0.0,0.0,1.0,0.0
78,70.16052799999999,0.0,5,8,0,0,0,10,0,0,4,0,0,1,3.875,0,1.0,0.0,0.0,0.0,0.0
79,67.45123899999999,0.0,4,6,0,1,0,0,0,4,0,0,0,0,3.75,0,0.0,0.0,0.0,0.0,1.0
80,109.08138199999998,0.0,4,4,12,2,1,14,1,1,0,1,0,1,2.625,3,0.0,0.0,1.0,0.0,0.0
81,104.20263999999996,0.0,5,10,4,3,1,11,2,3,0,0,0,0,2.458333333333333,3,0.0,1.0,0.0,0.0,0.0
82,55.257041,0.0,3,0,1,5,0,1,3,0,0,0,0,0,3.388888888888889,0,0.0,0.0,0.0,1.0,0.0
83,168.30605199999994,0.0,5,46,0,0,0,2,0,0,4,0,0,1,2.5,4,1.0,0.0,0.0,0.0,0.0
84,271.248245,34.751316,5,28,13,11,0,12,0,5,0,0,0,0,1.75,7,0.0,0.0,0.0,0.0,1.0
85,132.50782699999996,89.196446,4,2,12,2,1,8,1,1,0,1,0,1,2.833333333333333,9,0.0,0.0,1.0,0.0,0.0
86,76.226059,0.0,3,6,6,1,0,11,1,2,0,0,0,0,2.6666666666666665,6,0.0,1.0,0.0,0.0,0.0
87,55.422879000000016,0.0,4,0,6,6,0,13,4,0,0,0,0,0,3.1666666666666665,0,0.0,0.0,0.0,1.0,0.0
88,39.52069799999998,0.0,5,16,0,0,0,4,0,0,4,0,0,1,3.375,0,1.0,0.0,0.0,0.0,0.0
89,198.990428,53.248446,4,25,26,1,0,5,0,4,0,0,0,0,2.5,8,0.0,0.0,0.0,0.0,1.0
90,29.011512,0.0,3,2,2,1,0,2,1,1,0,0,0,1,3.5416666666666665,0,0.0,0.0,1.0,0.0,0.0
